# Product: e-CALLISTO_2023_02.txt
# Prepared by PI e-Callisto
# Please send comments and suggestions to christian.monstein(at)irsol.usi.ch
#
# Missing data: ##:##-##:##
#
#Date	Time	Type	Stations
#-------------------------------------------------------------------------------
20230201	05:58-05:58	III	Australia-ASSA
20230201	08:03-08:03	III	ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, (INDONESIA), SSRT
20230202	03:01-03:01	III	Australia-ASSA
20230202	16:24-16:24	III	Arecibo-Observatory
20230203	12:32-12:32	III	AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, GLASGOW, HUMAIN, (NORWAY-EGERSUND), SWISS-Landschlacht, (TRIEST) 
20230203	14:41-14:41	III	Arecibo-Observatory
20230203	14:43-15:45	V?	(AUSTRIA-UNIGRAZ), Arecibo-Observatory, BIR, (GERMANY-DLR), GLASGOW, HUMAIN, MEXICO-LANCE, SWISS-Landschlacht
20230203	14:49-14:49	III	AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, HUMAIN
20230203	15:36-15:36	III	Arecibo-Observatory, (BIR), GLASGOW
20230203	16:02-16:02	III	Arecibo-Observatory, GLASGOW, HUMAIN
20230203	17:43-17:43	III	Arecibo-Observatory, MEXICO-LANCE, USA-ARIZONA-ERAU
20230203	18:42-18:42	III	Arecibo-Observatory, (MEXICO-LANCE), (ROSWELL-NM), (USA-ARIZONA-ERAU)
20230203	23:39-23:39	III	Australia-ASSA, MEXICO-LANCE
20230203	23:47-23:47	III	Australia-ASSA, MEXICO-LANCE, (ROSWELL-NM), USA-ARIZONA-ERAU
20230204	01:28-01:49	VI	Australia-ASSA
20230204	01:57-01:58	III	Australia-ASSA, (SSRT)
20230204	02:09-02:11	III	Australia-ASSA
20230204	02:25-02:26	III	Australia-ASSA, (SSRT)
20230204	03:01-03:01	III	Australia-ASSA, SSRT
20230204	05:08-05:16	III	ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, SSRT
20230204	06:42-06:43	III	ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, SSRT
20230204	07:34-07:35	III	Australia-ASSA, HUMAIN, INDIA-OOTY, SSRT
20230204	09:29-09:33	III	AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, NORWAY-EGERSUND, SOUTHAFRICA-SANSA, SPAIN-PERALEJOS, SWISS-Landschlacht, SWISS-MUHEN
20230204	10:14-10:14	III	GERMANY-DLR, [HUMAIN]
20230204	10:32-10:32	III	BIR, GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND
